"path","disposition","target_phase","rationale"
"src/lib/components/register/register-table.utils.ts","RETAIN","Phases 1-7","Reusable web shell, component, style, route, verification, or test asset; revise only where target workflow requires."
"src/lib/components/system/BackupRestoreControls.svelte","RETAIN","Phases 1-7","Reusable web shell, component, style, route, verification, or test asset; revise only where target workflow requires."
"src/lib/components/system/BackupRestoreControls.test.ts","RETAIN","Phases 1-7","Reusable web shell, component, style, route, verification, or test asset; revise only where target workflow requires."
"src/lib/components/system/BrowserStorageDiagnostics.svelte","RETAIN","Phases 1-7","Reusable web shell, component, style, route, verification, or test asset; revise only where target workflow requires."
"src/lib/components/system/BrowserStorageDiagnostics.test.ts","RETAIN","Phases 1-7","Reusable web shell, component, style, route, verification, or test asset; revise only where target workflow requires."
"src/lib/components/ui/ConfirmDialog.svelte","RETAIN","Phases 1-7","Reusable web shell, component, style, route, verification, or test asset; revise only where target workflow requires."
"src/lib/components/ui/ConfirmDialog.test.ts","RETAIN","Phases 1-7","Reusable web shell, component, style, route, verification, or test asset; revise only where target workflow requires."
"src/lib/components/ui/StatusPill.svelte","RETAIN","Phases 1-7","Reusable web shell, component, style, route, verification, or test asset; revise only where target workflow requires."
"src/lib/components/ui/StatusPill.test.ts","RETAIN","Phases 1-7","Reusable web shell, component, style, route, verification, or test asset; revise only where target workflow requires."
"src/lib/data/backup.test.ts","RETAIN","Phase 1","New bounded IndexedDB, governance, migration, backup, or diagnostics foundation."
"src/lib/data/backup.ts","RETAIN","Phase 1","New bounded IndexedDB, governance, migration, backup, or diagnostics foundation."
"src/lib/data/backup/backup-service.ts","RETAIN","Phase 1","New bounded IndexedDB, governance, migration, backup, or diagnostics foundation."
"src/lib/data/backup/backup-status.test.ts","RETAIN","Phase 1","New bounded IndexedDB, governance, migration, backup, or diagnostics foundation."
"src/lib/data/backup/backup-status.ts","RETAIN","Phase 1","New bounded IndexedDB, governance, migration, backup, or diagnostics foundation."
"src/lib/data/backup/backup-tracker.ts","RETAIN","Phase 1","New bounded IndexedDB, governance, migration, backup, or diagnostics foundation."
"src/lib/data/backup/index.ts","RETAIN","Phase 1","New bounded IndexedDB, governance, migration, backup, or diagnostics foundation."
"src/lib/data/database/errors.ts","RETAIN","Phase 1","New bounded IndexedDB, governance, migration, backup, or diagnostics foundation."
"src/lib/data/database/failure-modes.test.ts","RETAIN","Phase 1","New bounded IndexedDB, governance, migration, backup, or diagnostics foundation."
"src/lib/data/database/idb-utils.ts","RETAIN","Phase 1","New bounded IndexedDB, governance, migration, backup, or diagnostics foundation."
"src/lib/data/database/identity.ts","RETAIN","Phase 1","New bounded IndexedDB, governance, migration, backup, or diagnostics foundation."
"src/lib/data/database/index.ts","RETAIN","Phase 1","New bounded IndexedDB, governance, migration, backup, or diagnostics foundation."
"src/lib/data/database/indexeddb-adapter.test.ts","RETAIN","Phase 1","New bounded IndexedDB, governance, migration, backup, or diagnostics foundation."
"src/lib/data/database/indexeddb-adapter.ts","RETAIN","Phase 1","New bounded IndexedDB, governance, migration, backup, or diagnostics foundation."
"src/lib/data/database/indexeddb-foundation.test.ts","RETAIN","Phase 1","New bounded IndexedDB, governance, migration, backup, or diagnostics foundation."
"src/lib/data/database/open-database.ts","RETAIN","Phase 1","New bounded IndexedDB, governance, migration, backup, or diagnostics foundation."
"src/lib/data/database/schema.ts","RETAIN","Phase 1","New bounded IndexedDB, governance, migration, backup, or diagnostics foundation."
"src/lib/data/database/types.ts","RETAIN","Phase 1","New bounded IndexedDB, governance, migration, backup, or diagnostics foundation."
"src/lib/data/diagnostics/index.ts","RETAIN","Phase 1","New bounded IndexedDB, governance, migration, backup, or diagnostics foundation."
"src/lib/data/diagnostics/storage-diagnostics.ts","RETAIN","Phase 1","New bounded IndexedDB, governance, migration, backup, or diagnostics foundation."
"src/lib/data/exchange/index.ts","RETAIN","Phase 1","New bounded IndexedDB, governance, migration, backup, or diagnostics foundation."
"src/lib/data/exchange/staging-repository.ts","RETAIN","Phase 1","New bounded IndexedDB, governance, migration, backup, or diagnostics foundation."
"src/lib/data/index.ts","RETAIN","Phase 1","New bounded IndexedDB, governance, migration, backup, or diagnostics foundation."
"src/lib/data/integrity/database-integrity.ts","RETAIN","Phase 1","New bounded IndexedDB, governance, migration, backup, or diagnostics foundation."
"src/lib/data/integrity/index.ts","RETAIN","Phase 1","New bounded IndexedDB, governance, migration, backup, or diagnostics foundation."
"src/lib/data/legacy/__fixtures__/browser-v14.json","RETAIN","Phase 1","New bounded IndexedDB, governance, migration, backup, or diagnostics foundation."
"src/lib/data/legacy/__fixtures__/native-v10.json","RETAIN","Phase 1","New bounded IndexedDB, governance, migration, backup, or diagnostics foundation."
"src/lib/data/legacy/index.ts","RETAIN","Phase 1","New bounded IndexedDB, governance, migration, backup, or diagnostics foundation."
"src/lib/data/legacy/legacy-mapping.ts","RETAIN","Phase 1","New bounded IndexedDB, governance, migration, backup, or diagnostics foundation."
"src/lib/data/legacy/legacy-migration.test.ts","RETAIN","Phase 1","New bounded IndexedDB, governance, migration, backup, or diagnostics foundation."
"src/lib/data/legacy/legacy-migration.ts","RETAIN","Phase 1","New bounded IndexedDB, governance, migration, backup, or diagnostics foundation."
"src/lib/data/legacy/legacy-source.test.ts","RETAIN","Phase 1","New bounded IndexedDB, governance, migration, backup, or diagnostics foundation."
"src/lib/data/legacy/legacy-source.ts","RETAIN","Phase 1","New bounded IndexedDB, governance, migration, backup, or diagnostics foundation."
"src/lib/data/migrations/index.ts","RETAIN","Phase 1","New bounded IndexedDB, governance, migration, backup, or diagnostics foundation."
"src/lib/data/migrations/target-schema.test.ts","RETAIN","Phase 1","New bounded IndexedDB, governance, migration, backup, or diagnostics foundation."
"src/lib/data/migrations/target-schema.ts","RETAIN","Phase 1","New bounded IndexedDB, governance, migration, backup, or diagnostics foundation."
"src/lib/data/repositories/index.ts","RETAIN","Phase 1","New bounded IndexedDB, governance, migration, backup, or diagnostics foundation."
"src/lib/data/repositories/record-repository.contract.test.ts","RETAIN","Phase 1","New bounded IndexedDB, governance, migration, backup, or diagnostics foundation."
"src/lib/data/repositories/record-repository.ts","RETAIN","Phase 1","New bounded IndexedDB, governance, migration, backup, or diagnostics foundation."
"src/lib/data/revisions/index.ts","RETAIN","Phase 1","New bounded IndexedDB, governance, migration, backup, or diagnostics foundation."
"src/lib/data/revisions/mutation-transaction.ts","RETAIN","Phase 1","New bounded IndexedDB, governance, migration, backup, or diagnostics foundation."
"src/lib/data/revisions/revision-repository.ts","RETAIN","Phase 1","New bounded IndexedDB, governance, migration, backup, or diagnostics foundation."
"src/lib/export/register-export.test.ts","RETAIN","Phases 1-7","Reusable web shell, component, style, route, verification, or test asset; revise only where target workflow requires."
"src/lib/export/register-export.ts","RETAIN","Phases 1-7","Reusable web shell, component, style, route, verification, or test asset; revise only where target workflow requires."
"src/lib/export/review-package.test.ts","RETAIN","Phases 1-7","Reusable web shell, component, style, route, verification, or test asset; revise only where target workflow requires."
"src/lib/export/review-package.ts","RETAIN","Phases 1-7","Reusable web shell, component, style, route, verification, or test asset; revise only where target workflow requires."
"src/lib/navigation/route-registry.test.ts","RETAIN","Phases 1-7","Reusable web shell, component, style, route, verification, or test asset; revise only where target workflow requires."
"src/lib/navigation/route-registry.ts","RETAIN","Phases 1-7","Reusable web shell, component, style, route, verification, or test asset; revise only where target workflow requires."
"src/lib/navigation/sidebar.config.ts","RETAIN","Phases 1-7","Reusable web shell, component, style, route, verification, or test asset; revise only where target workflow requires."
"src/lib/navigation/sidebar.types.ts","RETAIN","Phases 1-7","Reusable web shell, component, style, route, verification, or test asset; revise only where target workflow requires."
"src/lib/navigation/sidebar.utils.ts","RETAIN","Phases 1-7","Reusable web shell, component, style, route, verification, or test asset; revise only where target workflow requires."
"src/lib/pages/DashboardPage.svelte","RETAIN","Phases 1-7","Reusable web shell, component, style, route, verification, or test asset; revise only where target workflow requires."
"src/lib/pages/DashboardPage.test.ts","RETAIN","Phases 1-7","Reusable web shell, component, style, route, verification, or test asset; revise only where target workflow requires."
"src/lib/pages/ErrorPage.svelte","RETAIN","Phases 1-7","Reusable web shell, component, style, route, verification, or test asset; revise only where target workflow requires."
"src/lib/pages/GlobalSearchPage.svelte","RETAIN","Phases 1-7","Reusable web shell, component, style, route, verification, or test asset; revise only where target workflow requires."
"src/lib/pages/GlobalSearchPage.test.ts","RETAIN","Phases 1-7","Reusable web shell, component, style, route, verification, or test asset; revise only where target workflow requires."
"src/lib/pages/NotFoundPage.svelte","RETAIN","Phases 1-7","Reusable web shell, component, style, route, verification, or test asset; revise only where target workflow requires."
"src/lib/pages/RegisterCrudPage.svelte","RETAIN","Phases 1-7","Reusable web shell, component, style, route, verification, or test asset; revise only where target workflow requires."
"src/lib/pages/RegisterCrudPage.test.ts","RETAIN","Phases 1-7","Reusable web shell, component, style, route, verification, or test asset; revise only where target workflow requires."
"src/lib/pages/RegisterRecordNotFound.svelte","RETAIN","Phases 1-7","Reusable web shell, component, style, route, verification, or test asset; revise only where target workflow requires."
"src/lib/pages/ReportsExportsPage.svelte","RETAIN","Phases 1-7","Reusable web shell, component, style, route, verification, or test asset; revise only where target workflow requires."
"src/lib/pages/ReportsExportsPage.test.ts","RETAIN","Phases 1-7","Reusable web shell, component, style, route, verification, or test asset; revise only where target workflow requires."
"src/lib/pages/RouteOutlet.svelte","RETAIN","Phases 1-7","Reusable web shell, component, style, route, verification, or test asset; revise only where target workflow requires."
"src/lib/pages/RouteOutlet.test.ts","RETAIN","Phases 1-7","Reusable web shell, component, style, route, verification, or test asset; revise only where target workflow requires."
"src/lib/pages/RoutePlaceholderPage.svelte","RETAIN","Phases 1-7","Reusable web shell, component, style, route, verification, or test asset; revise only where target workflow requires."
"src/lib/pages/SettingsPage.svelte","RETAIN","Phases 1-7","Reusable web shell, component, style, route, verification, or test asset; revise only where target workflow requires."
"src/lib/pages/SettingsPage.test.ts","RETAIN","Phases 1-7","Reusable web shell, component, style, route, verification, or test asset; revise only where target workflow requires."
"src/lib/persistence/campaign-register.types.ts","REFACTOR","Phase 1","Legacy localStorage model remains migration input; operational behavior moves to bounded IndexedDB repositories."
"src/lib/persistence/chemical.types.ts","REFACTOR","Phase 1","Legacy localStorage model remains migration input; operational behavior moves to bounded IndexedDB repositories."
"src/lib/persistence/compliance-item.types.ts","REFACTOR","Phase 1","Legacy localStorage model remains migration input; operational behavior moves to bounded IndexedDB repositories."
"src/lib/persistence/control.types.ts","REFACTOR","Phase 1","Legacy localStorage model remains migration input; operational behavior moves to bounded IndexedDB repositories."
"src/lib/persistence/corrective-action.types.ts","REFACTOR","Phase 1","Legacy localStorage model remains migration input; operational behavior moves to bounded IndexedDB repositories."
"src/lib/persistence/equipment.types.ts","REFACTOR","Phase 1","Legacy localStorage model remains migration input; operational behavior moves to bounded IndexedDB repositories."
"src/lib/persistence/exposure-monitoring.types.ts","REFACTOR","Phase 1","Legacy localStorage model remains migration input; operational behavior moves to bounded IndexedDB repositories."
"src/lib/persistence/finding.types.ts","REFACTOR","Phase 1","Legacy localStorage model remains migration input; operational behavior moves to bounded IndexedDB repositories."
"src/lib/persistence/hazard.types.ts","REFACTOR","Phase 1","Legacy localStorage model remains migration input; operational behavior moves to bounded IndexedDB repositories."
"src/lib/persistence/incident.types.ts","REFACTOR","Phase 1","Legacy localStorage model remains migration input; operational behavior moves to bounded IndexedDB repositories."
"src/lib/persistence/lifecycle.types.ts","REFACTOR","Phase 1","Legacy localStorage model remains migration input; operational behavior moves to bounded IndexedDB repositories."
"src/lib/persistence/local-persistence.test.ts","REFACTOR","Phase 1","Legacy localStorage model remains migration input; operational behavior moves to bounded IndexedDB repositories."
"src/lib/persistence/local-persistence.ts","REFACTOR","Phase 1","Legacy localStorage model remains migration input; operational behavior moves to bounded IndexedDB repositories."
"src/lib/persistence/location.types.ts","REFACTOR","Phase 1","Legacy localStorage model remains migration input; operational behavior moves to bounded IndexedDB repositories."
"src/lib/persistence/process.types.ts","REFACTOR","Phase 1","Legacy localStorage model remains migration input; operational behavior moves to bounded IndexedDB repositories."
"src/lib/persistence/risk-assessment.types.ts","REFACTOR","Phase 1","Legacy localStorage model remains migration input; operational behavior moves to bounded IndexedDB repositories."
"src/lib/persistence/seg.types.ts","REFACTOR","Phase 1","Legacy localStorage model remains migration input; operational behavior moves to bounded IndexedDB repositories."
"src/lib/search/global-search.test.ts","RETAIN","Phases 1-7","Reusable web shell, component, style, route, verification, or test asset; revise only where target workflow requires."
"src/lib/search/global-search.ts","RETAIN","Phases 1-7","Reusable web shell, component, style, route, verification, or test asset; revise only where target workflow requires."
"src/lib/utils/date.ts","RETAIN","Phases 1-7","Reusable web shell, component, style, route, verification, or test asset; revise only where target workflow requires."
"src/repositories/index.ts","REFACTOR","Phases 1-4","Preserve application boundary pattern while moving significant entities to typed repositories and invariants."
"src/repositories/register-repository-adapter.ts","REFACTOR","Phases 1-4","Preserve application boundary pattern while moving significant entities to typed repositories and invariants."
"src/routes/+error.svelte","RETAIN","Phases 1-7","Reusable web shell, component, style, route, verification, or test asset; revise only where target workflow requires."
"src/routes/+layout.svelte","RETAIN","Phases 1-7","Reusable web shell, component, style, route, verification, or test asset; revise only where target workflow requires."
"src/routes/+layout.ts","REFACTOR","Phase 1","Update from Tauri assumptions to web-first PWA runtime and IndexedDB bootstrap."
"src/routes/+page.ts","RETAIN","Phases 1-7","Reusable web shell, component, style, route, verification, or test asset; revise only where target workflow requires."
"src/routes/[...path]/+page.svelte","RETAIN","Phases 1-7","Reusable web shell, component, style, route, verification, or test asset; revise only where target workflow requires."
"src/routes/[...path]/+page.ts","RETAIN","Phases 1-7","Reusable web shell, component, style, route, verification, or test asset; revise only where target workflow requires."
"src/routes/dashboard/+page.svelte","REFACTOR","Phases 2-5","Retain route/UI shell while replacing generic or conflated records with typed domain workflows."
"src/service-worker.ts","RETAIN","Phases 1-7","Reusable web shell, component, style, route, verification, or test asset; revise only where target workflow requires."
"src/test/setup.ts","RETAIN","Phases 1-7","Reusable web shell, component, style, route, verification, or test asset; revise only where target workflow requires."
"src/tests/domain-services.test.ts","RETAIN","Phases 1-7","Reusable web shell, component, style, route, verification, or test asset; revise only where target workflow requires."
"static/adama-hse-icon.svg","RETAIN","Phases 1-7","Reusable web shell, component, style, route, verification, or test asset; revise only where target workflow requires."
"static/favicon.png","REFACTOR","Phase 1","Update from Tauri assumptions to web-first PWA runtime and IndexedDB bootstrap."
"static/icons/adama-hse-192.png","RETAIN","Phases 1-7","Reusable web shell, component, style, route, verification, or test asset; revise only where target workflow requires."
"static/icons/adama-hse-512.png","RETAIN","Phases 1-7","Reusable web shell, component, style, route, verification, or test asset; revise only where target workflow requires."
"static/manifest.webmanifest","RETAIN","Phases 1-7","Reusable web shell, component, style, route, verification, or test asset; revise only where target workflow requires."
"static/svelte.svg","REMOVE_AFTER_MIGRATION","Phase 1 exit","Template or desktop-only asset has no target web-product role."
"static/tauri.svg","REMOVE_AFTER_MIGRATION","Phase 1 exit","Template or desktop-only asset has no target web-product role."
"static/vite.svg","REMOVE_AFTER_MIGRATION","Phase 1 exit","Template or desktop-only asset has no target web-product role."
"svelte.config.js","REFACTOR","Phase 1","Update from Tauri assumptions to web-first PWA runtime and IndexedDB bootstrap."
"tsconfig.json","REFACTOR","Phase 7","Keep project tooling and align it with unified web verification and deployment."
"vite.config.js","REFACTOR","Phase 1","Update from Tauri assumptions to web-first PWA runtime and IndexedDB bootstrap."

